Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
Air China Cargo Co Ltd,001391.SZ,C4,Transportation,air cargo / airlines ,IS - C4 air cargo / airlines  - Air China Cargo Co Ltd - 001391.SZ,6.67,Chinese Renminbi,-27.604,,NULL,Air Freight & Logistics,Air Freight & Logistics,"Air China Cargo Co Ltd is a China-based company primarily engaged in the provision of air logistics services. The Company mainly operates three business sectors. The air cargo services business sector is engaged in providing all-cargo transport services and passenger aircraft cargo services. The air cargo terminal services business sector is engaged in providing international and domestic airlines with cargo ground handling services including air cargo and mail warehousing, warehouse operations, apron support, document processing and information exchange. The integrated logistics solutions business sector is engaged in providing contract logistics services and freight forwarding services. The Company conducts its business in the domestic and overseas markets.","81,432,097,488.77","11,420,075,417.01",4/9/2025,,"20,583,978,160.00","22,549,943,500.00",NULL,0.855,,NULL,0.21,NULL,NULL,#VALUE!,NULL,14.793,,9.532,10.779,,,14.793,1.885,,23.723,41.384,9.532,10.779,"27,618,399,130",NULL,,"360,845,830",NULL,3.199,173.702,1.31%,1.221418184,NULL,NULL,#VALUE!,NULL,NULL,#VALUE!,173.702,2.981,2.978,#VALUE!,,32.197,NULL,NULL,0.97%,31.34%,0.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,23.723,0.234,0.280,0.199,0.278,0.101,0.333,36.692,22.015,0.816,0.816,23.723,,12.50,6.36
AECC Aviation Power Co Ltd,600893.SS,C4,Transportation,aircraft engine manufacturer / aerospace ,IS - C4 aircraft engine manufacturer / aerospace  - AECC Aviation Power Co Ltd - 600893.SS,37.24,Chinese Renminbi,42.954,,Mr. Xin Mou,Aerospace & Defense,Aerospace & Defense,"AECC AVIATION POWER CO,LTD, formerly AVIC AVIATION ENGINECORPORATION PLC, is a China-based company, principally engaged in the research and development, manufacture and distribution of aircraft engines and derivatives. The Company is also engaged in trading export subcontract business and the manufacture and distribution of non - aviation products. The Company distributes its products in domestic markets and to overseas markets.","99,265,339,424.81","13,900,177,755.50",4/9/2025,,"47,879,700,740.00","43,430,264,100.00","54,266,777,502.50",0.381,,"860,291,000.00",0.13,0.32,0.335,4.69%,NULL,1.527,,0.419,0.898,,,1.527,-1.547,,1.620,2.654,0.419,0.898,"115,913,298,910","45,509,465,000",,"43,897,098,520",NULL,1.448,2.722,37.87%,61.70010366,"3,802,387,000","3,962,287,000",-4.04%,"-14,308,924,080","-6,739,139,310",-112.33%,2.722,1.156,0.634,-0.326,,277.807,NULL,101.411,0.26%,72.36%,0.10,(10.433%),(7.598%),(3.940%),0.027 ,0.021 ,0.017 ,NULL,,1.620,0.115,0.138,0.088,0.124,0.013,0.043,1.453,0.872,0.444,0.444,1.620,,48.72,30.00
Avic XiAn Aircraft Industry Group Co Ltd,000768.SZ,C4,Transportation,aircraft manufacturers / aerospace ,IS - C4 aircraft manufacturers / aerospace  - Avic XiAn Aircraft Industry Group Co Ltd - 000768.SZ,25.13,Chinese Renminbi,54.632,,Mr. Xiaojun Han,Aerospace & Defense,Aerospace & Defense,"Avic XiAn Aircraft Industry Group Co Ltd is a China-based company primarily engaged in the research and development, manufacturing, sales, maintenance and service of large and medium-sized military aircraft and military and civil aviation parts and components. The Company mainly operates three businesses. The military aircraft business is engaged in the production and sales of large and medium-sized transport aircraft, bombers, special aircraft and others. The aircraft parts business is engaged in the integrated manufacturing of fuselages, wings and other parts. The aviation service business is engaged in the provision of aviation engineering technical support, technical information, user training, aviation material support, aircraft maintenance (including modification) and other aviation service businesses. The Company conducts its business in the domestic and overseas markets.","69,889,297,504.42","9,767,163,119.37",4/9/2025,,"43,215,752,500.00","42,302,914,200.00","51,872,287,457.50",0.568,,"1,023,436,000.00",0.38,0.369,0.430,16.48%,NULL,3.206,,1.419,5.038,,,3.206,6.057,,1.650,2.152,1.419,5.038,"73,810,707,200","17,067,172,880",,"9,603,296,160",NULL,0.296,30.163,13.01%,8.573482678,"2,185,883,000","1,949,816,000",12.11%,"-57,645,260","-5,514,626,480",98.95%,30.163,1.061,0.650,-0.006,,65.965,NULL,55.468,0.48%,NULL,0.12,12.181%,0.000%,1.840%,0.014 ,0.016 ,0.019 ,NULL,,1.650,0.037,0.045,0.079,0.110,0.013,0.043,1.488,0.893,0.559,0.559,1.650,,32.64,21.06
AVIC Airborne Systems Co Ltd,600372.SS,C4,Transportation,aircraft manufacturers / aerospace ,IS - C4 aircraft manufacturers / aerospace  - AVIC Airborne Systems Co Ltd - 600372.SS,11.82,Chinese Renminbi,-9.517, ,Mr. Linping Hu,Aerospace & Defense,Aerospace & Defense,"AVIC Airborne Systems Co Ltd, formerly China Avionics Systems Co Ltd, is a China-based company, principally engaged in the manufacture and distribution of aviation and defense electronic products. The Company mainly provides aircraft data acquisition equipment, aircraft positioning and navigation equipment, aircraft navigation attitude systems, air data systems, autopilots, aviation lighting systems, cockpit control and dimming systems, aircraft warning systems, dedicated driving and actuation systems, sensors and sensitive components. The Company is also engaged in the manufacture and distribution of fabric special equipment, including textile machinery and spare parts. The Company distributes its products within domestic market and to overseas markets.","57,194,957,273.82","8,029,367,500.14",4/9/2025,,"23,879,725,150.00","23,582,330,760.00","27,924,240,667.50",0.307,,"1,040,726,000.00",0.16,0.215,0.483,124.65%,NULL,4.492,,1.220,2.085,,,4.492,2.429,,1.840,4.202,1.220,2.085,"78,120,456,110","37,900,121,400",,"17,387,411,400",NULL,1.677,4.810,22.26%,33.67618562,"2,924,699,000","3,832,086,000",-23.68%,"-1,988,714,090","-1,017,258,020",-95.50%,4.810,1.681,1.221,-0.114,,73.375,NULL,19.003,0.59%,NULL,0.07,(17.574%),3.131%,3.422%,0.060 ,0.144 ,0.112 ,NULL,,1.840,0.312,0.375,0.153,0.214,0.017,0.057,1.467,0.880,0.315,0.315,1.840,,14.26,9.98
Avic Shenyang Aircraft Co Ltd,600760.SS,C4,Transportation,aircraft manufacturers / aerospace ,IS - C4 aircraft manufacturers / aerospace  - Avic Shenyang Aircraft Co Ltd - 600760.SS,54.24,Chinese Renminbi,217.084,,Mr. Ruidong Ji,Aerospace & Defense,Aerospace & Defense,"Avic Shenyang Aircraft Co Ltd is a China-based company mainly engaged in the manufacturing of aviation products. The Company's main products include aviation defense equipment and civil aviation products, with the core product being aviation defense equipment. The Company is also engaged in aviation product research, production, testing, flight testing, maintenance and service support. The Company mainly operates its businesses in the domestic market.","153,773,384,020.72","21,536,937,888.16",4/9/2025,,"42,837,236,430.00","35,840,879,960.00","54,155,524,605.00",0.622,,"3,393,966,000.00",1.05,1.23,1.324,7.63%,NULL,8.792,,5.061,17.309,,,8.792,-2.517,,3.268,5.474,5.061,17.309,"61,589,834,320","22,675,806,200",,"7,293,006,070",NULL,0.057,908.999,11.84%,0.987596902,"4,705,684,000","3,968,696,000",18.57%,"-3,741,910,970","-4,393,064,950",14.82%,908.999,1.322,0.989,-0.513,,51.540,NULL,36.179,0.74%,NULL,0.40,10.952%,39.202%,NULL,0.069 ,0.117 ,0.149 ,NULL,,3.268,0.191,0.229,0.155,0.217,0.062,0.205,3.140,1.884,0.732,0.732,3.268,,67.88,37.81
AVIC Chengdu Aircraft Co Ltd,302132.SZ,C4,Transportation,aircraft manufacturers / aerospace ,IS - C4 aircraft manufacturers / aerospace  - AVIC Chengdu Aircraft Co Ltd - 302132.SZ,83,Chinese Renminbi,734.193,,Mr. Shaochun Sui,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,"AVIC Chengdu Aircraft Co Ltd is a China-based company principally engaged in the provision of intelligent measurement and control products and system solutions for both military and civilian use. The Company's main businesses include aviation military products, sensor control and intelligent transportation. The Company's current business and products mainly involve aircraft measurement and control products, power distribution products, hanging delivery systems, resistance strain gauges, strain sensors, weighing instruments and software, intelligent sensors, consumer electronics products, intelligent logistics equipment, industrial weighing control, intelligent warehousing, in-use vehicle detection, special vehicle detection, intelligent driving training, intelligent traffic information system, solenoid valves and other directions and fields. The Company distributes its products within the domestic market and to overseas markets.","221,780,478,647.77","30,844,431,304.93",4/9/2025,,"1,779,761,710.00","21,663,796,360.00","85,511,500,000.00",0.278,,"112,308,790.00",0.19,0.19,1.420,647.37%,NULL,4.323,,1.298,5.611,,,4.323,7.331,,0.488,1.184,1.298,5.611,"107,905,965,440","2,572,176,470",,"16,424,721,050",NULL,1.647,7.987,15.22%,33.60543162,NULL,NULL,#VALUE!,"-156,696,000",NULL,#VALUE!,7.987,1.412,0.981,-0.010,,433.126,NULL,61.603,0.76%,163.45%,0.63,(34.579%),(22.477%),(1.975%),NULL,NULL,0.010 ,NULL,,0.488,0.077,0.092,0.050,0.070,0.002,0.006,0.479,0.288,0.032,0.032,0.488,,109.80,39.30
China Southern Airlines Co Ltd,600029.SS,C4,Transportation,Airlines ,IS - C4 Airlines  - China Southern Airlines Co Ltd - 600029.SS,5.84,Chinese Renminbi,-50.034,,Mr. Xulun Ma,Passenger Airlines,Passenger Airlines,"China Southern Airlines Co Ltd is a China-based company primarily engaged in aviation operations business. The Company conducts its businesses primarily through two segments. The Airline Transportation Operations segment is primarily engaged in passenger and cargo and mail operations. The Others segment is primarily engaged in the provision of hotel and travel services, airline catering services, ground services, and other services. The Company principally conducts its businesses in domestic and overseas markets.","94,350,522,196.92","13,223,674,772.53",4/9/2025,,"174,224,000,000.00","175,725,000,000.00","186,121,306,710.00",0.541,,"-1,696,000,000.00",#VALUE!,-0.09,0.147,-263.58%,NULL,0.325,,-0.010,-5.878,,,0.325,2.156,,0.322,-1.826,-0.010,-5.878,"329,738,000,000","52,962,000,000",,"208,017,000,000",NULL,2.824,0.954,63.09%,598.4123748,"34,287,000,000","15,091,000,000",127.20%,"25,779,000,000","40,134,000,000",-35.77%,0.954,0.257,0.242,0.124,,NULL,NULL,21.595,0.00%,0.00%,0.00,NULL,NULL,NULL,0.000 ,0.000 ,0.042 ,NULL,,0.322,-0.306,-0.367,-0.109,-0.153,0.017,0.057,0.399,0.239,0.545,0.545,0.322,,7.49,5.18
China Eastern Airlines Corp Ltd,600115.SS,C4,Transportation,Airlines ,IS - C4 Airlines  - China Eastern Airlines Corp Ltd - 600115.SS,3.98,Chinese Renminbi,-50.569,,Mr. Zhiqing Wang,Passenger Airlines,Passenger Airlines,"China Eastern Airlines Corp Ltd is a China-based company principally engaged in the operation of civil aviation. The Company is primarily engaged in the provision of passenger, cargo, mail delivery and other extended transportation services. The Company primarily operates its businesses through two segments. Airline Transportation Operations segment mainly comprises the provision of passenger, cargo, mail delivery and ground service. Other Operations segment primarily includes tour operations, air catering and other miscellaneous services. The Company also involves in general aviation business, maintenance of aviation equipment and machinery, manufacture and maintenance of aviation equipment, agency business for domestic and overseas airlines and other business related to air transportation, insurance-by-business agency services, e-commerce, in-flight supermarket, as well as wholesale and retail of goods. The Company operates its business in domestic market and to overseas markets.","81,811,078,040.41","11,438,692,485.08",4/9/2025,,"132,120,000,000.00","134,743,000,000.00","146,506,400,565.00",0.483,,"-4,226,000,000.00",#VALUE!,-0.19,0.098,-151.75%,NULL,-2.980,,-1.172,-6.981,,,-2.980,8.147,,0.009,-2.505,-1.172,-6.981,"276,600,000,000","41,537,000,000",,"175,998,000,000",NULL,2.664,0.128,63.63%,456.0573894,"28,085,000,000","23,004,000,000",22.09%,"37,314,000,000","26,573,000,000",40.42%,0.128,0.181,0.165,0.212,,NULL,NULL,23.997,0.00%,NULL,0.00,NULL,NULL,NULL,0.000 ,0.020 ,0.034 ,NULL,,0.009,-0.343,-0.412,-0.204,-0.286,0.002,0.008,0.378,0.227,0.473,0.473,0.009,,4.49,3.42
Spring Airlines Co Ltd,601021.SS,C4,Transportation,Airlines ,IS - C4 Airlines  - Spring Airlines Co Ltd - 601021.SS,52.49,Chinese Renminbi,47.012,,Mr. Yu Wang,Passenger Airlines,Passenger Airlines,"Spring Airlines Co Ltd is a China-based airline company, principally engaged in the airline transportation of passengers and freight. The Company is mainly engaged in domestic, international and Hong Kong, Macao and Taiwan air passenger and cargo transportation business and services related to air transportation business. The Company mainly conducts its businesses in the domestic market and overseas markets.","51,352,002,298.55","7,192,217,871.50",4/9/2025,,"19,999,927,180.00","20,429,291,500.00","23,424,618,217.50",0.464,,"2,272,944,000.00",2.14,2.33,2.599,11.54%,NULL,11.191,,4.746,12.034,,,11.191,-0.002,,2.310,3.772,4.746,12.034,"43,835,011,780","17,380,895,270",,"19,656,974,240","534,557,500",2.596,5.441,44.84%,114.4493242,"5,724,422,000","5,319,753,000",7.61%,"5,894,967,140","6,694,171,000",-11.94%,5.441,1.293,1.257,0.300,,24.568,NULL,16.963,1.56%,NULL,0.82,NULL,32.596%,21.189%,0.442 ,0.377 ,0.271 ,NULL,,2.310,0.068,0.081,0.198,0.277,0.066,0.218,2.133,1.280,0.454,0.454,2.310,,67.62,47.72
Air China Ltd,601111.SS,C4,Transportation,Airlines ,IS - C4 Airlines  - Air China Ltd - 601111.SS,7.37,Chinese Renminbi,-38.252,,Mr. Chongxian Ma,Passenger Airlines,Passenger Airlines,"Air China Ltd is a China-based company principally engaged in the provision of air passenger transportation, freight transportation, postal transportation and maintenance services in Mainland China, Hong Kong, Macau and foreign regions. The Company operates its businesses through two segments. Airline Operations segment mainly comprises the provision of air passenger and air cargo services. Other Operations segment comprises the provision of aircraft engineering and other airline-related services. The Company is also engaged in domestic and international business aviation businesses, plane business, aircraft maintenance, airlines business agents, ground and air express services related to main businesses, duty free on boards, retail business on boards and aviation accident insurance sales agent business. The Company mainly conducts its businesses in the domestic market and overseas markets.","117,332,556,266.77","16,454,492,198.38",4/9/2025,,"166,698,880,000.00","167,935,982,000.00","181,753,491,797.50",0.486,,"-237,305,000.00",0.05,-0.01,0.220,-2301.10%,NULL,-2.371,,-0.468,2.931,,,-2.371,-13.002,,0.346,-1.547,-0.468,2.931,"345,769,412,000","41,260,782,000",,"225,187,549,000","6,398,748,000",2.900,-0.087,65.13%,537.2340695,"32,536,740,000","31,316,350,000",3.90%,"34,545,707,000","35,418,470,000",-2.46%,-0.087,0.316,0.282,0.153,,160.742,NULL,22.196,0.00%,NULL,0.00,NULL,NULL,NULL,0.000 ,0.018 ,0.051 ,NULL,,0.346,-0.280,-0.336,-0.055,-0.077,-0.002,-0.005,0.459,0.275,0.490,0.490,0.346,,9.12,6.17
Hainan Airport Infrastructure Co Ltd,600515.SS,C4,Transportation,Airports / infrastructure ,IS - C4 Airports / infrastructure  - Hainan Airport Infrastructure Co Ltd - 600515.SS,3.78,Chinese Renminbi,-52.742,,Mr. Xiaobin Yang,Real Estate Management & Development,Diversified Real Estate Activities,"Hainan Airport Infrastructure Co Ltd, formerly HNA Infrastructure Investment Group Co Ltd, is a China-based company mainly engaged in airport business and real estate business. The Company operates five segments. The Real Estate Business segment is mainly engaged in the investment and development of industrial parks, the sales of stock residential buildings, office buildings and apartments, as well as the rental and management of industrial parks and investment real estate. The Airport Business segment is mainly engaged in aviation business and non aviation business. The Property Management Business segment provides basic property services and value-added services. The Duty-free and Commercial segment is mainly engaged in island commerce and other related businesses. The Other business segment is mainly engaged in hotel operation, flight training and other related businesses.","43,187,065,553.27","6,063,506,230.09",4/9/2025,,"4,368,170,550.00","4,427,971,900.00","7,205,083,330.00",0.083,,"458,502,000.00",0.03,0.04,0.060,50.00%,NULL,5.324,,0.511,1.259,,,5.324,1.928,,0.855,2.021,0.511,1.259,"53,691,111,400","26,168,382,560",,"18,616,092,480",NULL,2.756,1.082,34.67%,77.91236827,"1,530,659,000","2,579,200,000",-40.65%,"-781,968,750","546,338,660",-243.13%,1.082,2.163,0.753,-0.042,,145.609,NULL,55.492,0.13%,NULL,0.01,NULL,NULL,NULL,0.003 ,0.003 ,0.002 ,NULL,,0.855,0.192,0.230,-0.249,-0.349,0.011,0.035,1.431,0.859,0.080,0.080,0.855,,4.50,2.96
Shanghai International Airport Co Ltd,600009.SS,C4,Transportation,Airports ,IS - C4 Airports  - Shanghai International Airport Co Ltd - 600009.SS,31.73,Chinese Renminbi,-26.330,,Mr. Xin Feng,Transportation Infrastructure,Airport Services,"Shanghai International Airport Co Ltd is a China-based company mainly engaged in aviation and related services. The company's main business includes: unified management of the two airports in Shanghai, and its business operations are mainly divided into aviation business and non-aviation business. Aviation business refers to basic business directly related to aircraft, passengers and cargo services, other similar extended commercial, office leasing, check-in counter leasing, cargo terminal operation business, etc. are all non-aviation business.","78,958,407,274.95","11,080,979,445.49",4/9/2025,,"12,368,804,100.00","12,658,510,870.00","14,155,352,912.50",0.183,,"1,933,949,000.00",0.87,0.78,0.886,13.60%,0.827,24.107,,3.540,5.208,,,24.107,4.289,,2.691,5.351,3.540,5.208,"70,046,212,110","43,618,486,120",,"21,970,522,010","728,187,020",3.253,2.362,31.37%,47.31831198,"6,153,512,000","4,616,017,000",33.31%,"5,530,816,400","4,020,086,470",37.58%,2.362,2.180,2.175,0.252,,36.501,0.827,31.236,1.26%,NULL,0.40,NULL,(12.711%),1.353%,0.189 ,0.320 ,0.294 ,NULL,,2.691,0.149,0.178,0.327,0.458,0.025,0.081,2.993,1.796,0.177,0.177,2.691,,42.26,29.68
Yutong Bus Co Ltd,600066.SS,C4,Transportation,Auto makers (buses) ,IS - C4 Auto makers (buses)  - Yutong Bus Co Ltd - 600066.SS,29.14,Chinese Renminbi,87.039,,Mr. Yuxiang Tang,Machinery,Construction Machinery & Heavy Transportation Equipment,"Yutong Bus Co Ltd is a China-based company engaged in the research and development, manufacturing and sales of bus products. The Company operates through four segments. The Bus Manufacturing segment is engaged in the manufacturing and sales of large, medium and light buses, including passenger buses, buses, school buses and new energy vehicles (including pure electric, plug-in and fuel cell vehicles). The Foreign Trade segment is engaged in the direct sales and distribution of buses and new energy vehicles in the domestic and overseas markets. The Passenger Transportation segment is engaged in group rental, short-distance passenger transportation, highway passenger transportation, tourist passenger transportation, bus transportation, group commuting and school bus businesses. The Other segment provide after-sales services. The Company mainly operates in the domestic and overseas markets.","64,513,285,587.93","9,046,229,944.71",4/9/2025,,"37,217,586,600.00","37,011,200,540.00","46,804,857,702.50",1.195,,"4,116,194,000.00",1.98,1.86,2.120,13.95%,1.571,13.364,,14.327,32.886,,,13.364,2.272,,4.162,6.498,14.327,32.886,"32,150,894,480","14,130,613,140",,"112,898,700","1,783,980",0.071,2329.714,0.35%,0.859949374,"5,287,054,000","2,682,217,000",97.12%,"7,210,590,340","4,716,698,000",52.87%,2329.714,1.520,1.260,63.868,,14.736,1.571,12.698,5.72%,101.14%,1.67,44.225%,8.447%,8.447%,0.479 ,0.447 ,0.424 ,NULL,,4.162,0.203,0.244,0.307,0.430,0.132,0.435,3.119,1.871,1.181,1.181,4.162,,30.13,20.35
